cluster_label,fraction,n
143,0.0,135
142,0.0,142
141,0.0,123
140,0.0,100
139,0.0,66
138,0.0,52
209,0.0,331
107,0.0,54
211,0.0,339
264,0.0,612
286,0.0,78
285,0.0,236
98,0.0,58
283,0.0,87
282,0.0,162
281,0.0,93
280,0.0,128
279,0.0,81
278,0.0,62
277,0.0,108
276,0.0,61
275,0.0,136
99,0.0,162
273,0.0,299
272,0.0,185
271,0.0,204
270,0.0,96
269,0.0,71
268,0.0,187
100,0.0,236
266,0.0,184
287,0.0,175
288,0.0,90
97,0.0,66
304,0.0,73
93,0.0,99
94,0.0,68
112,0.0,64
310,0.0,58
309,0.0,64
308,0.0,235
307,0.0,248
306,0.0,57
305,0.0,64
303,0.0,57
290,0.0,72
302,0.0,82
300,0.0,271
299,0.0,66
296,0.0,85
295,0.0,172
294,0.0,141
293,0.0,98
292,0.0,57
96,0.0,56
101,0.0,56
263,0.0,220
212,0.0,106
262,0.0,92
104,0.0,251
234,0.0,87
233,0.0,150
232,0.0,135
231,0.0,150
229,0.0,196
228,0.0,85
227,0.0,74
226,0.0,90
224,0.0,148
223,0.0,328
222,0.0,240
221,0.0,330
220,0.0,206
219,0.0,68
218,0.0,271
106,0.0,65
216,0.0,177
215,0.0,155
214,0.0,76
213,0.0,188
237,0.0,160
238,0.0,59
239,0.0,81
251,0.0,183
261,0.0,209
260,0.0,57
259,0.0,114
258,0.0,205
257,0.0,76
256,0.0,54
0,0.0,119
253,0.0,82
252,0.0,148
102,0.0,70
103,0.0,128
249,0.0,93
248,0.0,150
247,0.0,73
246,0.0,268
245,0.0,54
244,0.0,83
243,0.0,151
242,0.0,63
241,0.0,265
255,0.0,118
