order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Cephalothecales,345,345,-10.0,-3.0,38129.5,3.0561854159472787e-16,6.532596326587309e-16
Ceraceosorales,82,82,-1.5,-3.0,3337.5,0.9370500357002108,0.9425620947337415
Chaetomellales,186,186,-17.0,-5.0,9257.0,8.736722137897794e-15,1.7785470066434796e-14
Chaetosphaeriales,506,506,-7.0,-4.0,98376.0,1.780757005188645e-10,2.985386743992728e-10
Chaetothyriales,7050,7050,-12.0,-4.0,13898538.5,0.0,0.0
Chytridiales,4990,4990,-4.0,-3.0,10593514.5,4.136508333934035e-38,1.309894305745778e-37
Cladochytriales,667,667,-7.0,-4.0,176257.5,5.1298505587789e-11,8.860650965163554e-11
Cladosporiales,5652,5652,-14.0,-5.0,9338362.0,0.0,0.0
Coniochaetales,1953,1953,-8.0,-4.0,1407674.5,1.2359566080244e-45,4.4030954160869254e-45
Coniocybales,188,188,-7.0,-3.0,13550.0,9.126410768336766e-05,0.00012288316861303834
Coronophorales,1111,1111,-11.0,-3.0,365675.0,3.765110015575361e-62,1.4307418059186371e-61
Corticiales,437,437,-5.0,-3.0,78448.5,4.91258236649168e-06,6.942575079917993e-06
Cyphobasidiales,40,40,-7.5,-1.0,463.5,0.001211416723530733,0.0015231783803217305
Cystobasidiales,707,707,-8.0,-4.0,203264.0,1.2061425125134838e-09,1.9457582041491106e-09
Cystofilobasidiales,1143,1143,-9.0,-4.0,506481.0,1.3632421266578602e-20,3.479319457589464e-20
Dacrymycetales,361,361,-14.0,-5.0,31803.0,1.0576941414571693e-32,3.1730824243715084e-32
Diaporthales,13567,13567,-12.0,-5.0,58747298.0,0.0,0.0
Dimargaritales,429,429,-11.0,-3.0,56506.5,1.2759207300069383e-22,3.4632134100188325e-22
Dipodascales,15432,15432,-19.0,-4.0,59046278.5,0.0,0.0
Diversisporales,4759,4759,-5.0,0.0,8364695.5,4.096676697218984e-108,1.843504513748543e-107
Dothideales,7123,7123,-7.0,-4.0,21041424.5,1.2818813397889053e-69,5.097714165207042e-69
Endogonales,611,611,-5.0,-5.0,186867.0,0.9733474685217667,0.9733474685217667
Entomophthorales,1981,1981,-1.0,0.0,1862074.0,0.0053998352987748134,0.0066429628495718925
Entrophosporales,250,250,-6.0,-2.0,24293.0,1.6427384257519833e-05,2.247266166428713e-05
Entylomatales,39,39,-5.0,-4.0,663.5,0.33452229135943456,0.34668673831795943
Eremomycetales,87,87,-11.0,-6.0,2910.5,0.008518768455089502,0.010405067184430749
Erysiphales,567,567,-4.0,-1.0,115852.5,3.7950186429671035e-16,8.011706024041664e-16
Erythrobasidiales,184,184,-4.5,-4.5,15819.5,0.2772984108709694,0.28913431865204736
Eurotiales,65072,65072,-12.0,-5.0,1263469052.5,0.0,0.0
Exobasidiales,265,265,-5.0,-1.0,27040.0,4.620535012302855e-06,6.58426239253157e-06
Filobasidiales,1303,1303,-10.0,-4.0,580427.5,1.9489202128417565e-44,6.534614831292948e-44
Geastrales,307,307,-7.0,-4.0,36513.5,1.359755916170087e-06,1.98733556978705e-06
Geminibasidiales,78,78,-8.0,-2.0,2004.5,0.00023479664477206783,0.0003018814004212301
Geoglossales,919,919,-9.0,-3.0,278285.0,9.578539377173086e-37,2.9780549699938143e-36
Georgefischeriales,11,11,-7.0,2.0,33.5,0.08149247829609332,0.0876428540165532
Gloeophyllales,269,269,-8.0,-3.0,22939.0,1.9984908602270776e-13,3.7145862728133725e-13
Glomerales,3235,3235,-6.0,-1.0,3792551.0,5.671144536145395e-82,2.3652822333679576e-81
Glomerellales,23969,23969,-7.0,-4.0,230962337.0,1.7136077288925716e-302,1.2740300940896946e-301
Golubeviales,244,244,-7.0,-3.0,23851.5,0.0001448271938036339,0.00019198023364667751
Gomphales,758,758,-9.0,-3.0,222271.0,2.3375917268244446e-14,4.648002154499768e-14
Harpellales,1270,1270,-7.0,0.0,523323.0,5.265792426169253e-53,1.957501097554222e-52
Helotiales,31960,31960,-7.0,-4.0,387417185.5,0.0,0.0
Herpomycetales,25,25,-5.0,-1.0,210.5,0.04868063004145047,0.053021577943235865
Holtermanniales,111,111,-8.0,1.0,3289.0,1.9344710229168012e-09,3.062912452951602e-09
Hymenochaetales,2325,2325,-13.0,-4.0,1468861.5,3.6251139495607587e-160,2.0663149512496326e-159
Hypocreales,111096,111096,-12.0,-4.0,4039342985.0,0.0,0.0
Hysterangiales,227,227,-3.0,-6.0,28746.0,0.03291135075159266,0.03654442193845679
Hysteriales,371,371,-10.0,-4.0,44200.5,3.250302420409835e-17,7.125662998590793e-17
Jaapiales,90,90,-6.0,-5.0,3169.0,0.011711076747891668,0.014102775520348417
Kickxellales,12911,12911,-15.0,-3.0,40523240.0,0.0,0.0
Kriegeriales,306,306,-5.0,-3.0,41525.5,0.015474659940327616,0.018001135032626
Lecanorales,4757,4757,-12.0,-4.0,6573896.5,1.5824193654888748e-274,1.1274737979108234e-273
Leotiales,220,220,-13.0,-4.5,13649.0,2.499594166566315e-15,5.149766294973975e-15
Leucosporidiales,369,369,-7.0,-3.0,57093.5,0.00014740835630001556,0.00019389868405617433
Lichinales,394,394,-11.0,-2.0,48373.5,5.385636481410992e-20,1.3347012149583763e-19
Lineolatales,107,107,-25.0,-6.0,1839.0,9.447306794597233e-18,2.1256440287843776e-17
Lipomycetales,1493,1493,-18.0,-5.0,569706.0,2.084129485371541e-118,1.0481945352898046e-117
Lobulomycetales,247,247,-6.0,-1.0,19773.5,1.3111539657799837e-11,2.3114157541069815e-11
Lulworthiales,179,179,-26.0,-2.0,3940.5,5.535866480612009e-35,1.69041637175831e-34
Magnaporthales,4288,4288,-3.0,-3.0,8585477.0,1.1170645344444092e-07,1.6904250919468494e-07
Malasseziales,198,198,-7.5,-4.0,14568.5,9.822382982078993e-06,1.365550804825616e-05
Marthamycetales,162,162,-15.0,-5.0,7162.5,1.544729198569117e-12,2.7805125574244106e-12
Microascales,8572,8572,-11.0,-4.0,21677550.0,0.0,0.0
Microbotryales,451,451,-1.0,-2.0,107981.5,0.10827935034780137,0.11500477583524245
Microstromatales,263,263,-6.0,-4.0,30237.5,0.012603051942654047,0.01507078239296393
Microthyriales,200,200,-4.0,-2.0,16171.5,0.0009229909347844671,0.0011778466406577902
Mixiales,40,40,-3.0,-3.5,914.5,0.2723415302372242,0.2857079857089898
Moniliellales,86,86,-7.5,-1.0,2279.0,1.3823740425764044e-05,1.9063383974239127e-05
Monoblepharidales,499,499,-4.0,-2.0,114330.0,0.025441837694408897,0.029003694971626144
Mortierellales,4923,4923,-2.0,-4.0,12252474.0,0.3399168816330469,0.3501553419231989
Mucorales,8625,8625,-8.0,-3.0,27091058.5,9.511832620808474e-210,6.024160659845367e-209
Mycosphaerellales,15456,15456,-11.0,-4.0,76775478.5,0.0,0.0
Myriangiales,1644,1644,-4.0,-3.0,1247976.5,0.00014461071431251982,0.00019198023364667751
Mytilinidiales,556,556,-9.0,-3.0,101036.5,1.4982107357870375e-23,4.199902226550548e-23
Neocallimastigales,5311,5311,-17.0,-3.0,9946099.0,1.40764016334694e-152,7.52207712288521e-152
Neolectales,36,36,-4.0,-4.5,613.5,0.7014331291332002,0.7097341129099245
Onygenales,5353,5353,-7.0,-3.0,10484103.5,9.409169563612403e-128,4.8756605920537005e-127
Ophiostomatales,8935,8935,-8.0,-4.0,30580251.5,1.3148111933337623e-161,7.752852208968047e-161
Orbiliales,7964,7964,-5.0,-3.0,29026751.0,2.04700888582461e-20,5.147625286411887e-20
Ostropales,744,744,-8.0,-3.0,186441.0,1.1034896571995339e-27,3.1449455230186718e-27
Paraglomerales,339,339,-5.0,-3.0,47824.5,0.00015641057099829588,0.00020416952397487478
Patellariales,126,126,-12.0,-3.0,4365.5,6.544195849338013e-10,1.0760168175353848e-09
Peltigerales,538,538,-6.0,-1.0,106340.5,4.9299579682301936e-14,9.57980468826549e-14
Peribolosporales,80,80,-4.5,-2.0,2500.5,0.016953772540942345,0.019588480435818522
Pertusariales,457,457,-8.0,-2.0,65130.0,6.767663450171868e-23,1.8665652419022413e-22
Pezizales,12856,12856,-7.0,-3.0,60003970.0,0.0,0.0
Phacidiales,560,560,-14.0,-5.0,83432.5,6.954798847013606e-42,2.2439067978100503e-41
Phaeomoniellales,254,254,-12.0,-5.0,19646.0,2.4106664948507472e-14,4.738206558844572e-14
Phaeotrichales,136,136,-2.0,-2.5,8905.5,0.5977956508603168,0.6084705731971083
Phaffomycetales,8112,8112,-23.0,-5.0,13463779.5,0.0,0.0
Phallales,613,613,-10.0,-4.0,118237.0,2.5647044274030803e-29,7.433295882812318e-29
Phyllachorales,97,97,-6.0,-4.0,3731.5,0.012827337751730145,0.015232463580179547
Physodermatales,152,152,-13.0,-3.0,8150.0,8.994921599402816e-06,1.2607636012277718e-05
Pichiales,9920,9920,-22.0,-5.0,20512292.5,0.0,0.0
Pleosporales,34727,34727,-8.0,-4.0,442052109.5,0.0,0.0
Pneumocystales,365,365,2.0,-1.0,72399.5,0.042180804666409666,0.04623665126894906
Polychytriales,187,187,-4.0,-2.0,14954.5,0.015465219466473779,0.018001135032626
Polyporales,11587,11587,-9.0,-4.0,47546715.0,0.0,0.0
Pucciniales,2694,2694,-3.0,-1.0,3076056.0,3.441813813374381e-22,9.196096282609674e-22
Pyrenulales,338,338,-8.0,-5.0,44316.5,4.492049828004624e-07,6.621901039558541e-07
Racodiales,231,231,-7.0,-3.0,19982.0,3.006945865259623e-06,4.32090540302013e-06
Ramicandelaberales,120,120,0.0,-3.0,8755.5,0.0037889637003552467,0.004695020237396719
Rhizocarpales,140,140,-12.0,-1.5,4128.0,5.510131122393212e-17,1.19269926826486e-16
Rhizophlyctidales,281,281,-2.0,-4.0,41082.5,0.4051573512706427,0.41486171896574786
Rhizophydiales,976,976,-5.0,-3.0,410175.5,1.0846353656828906e-07,1.656005781533699e-07
Russulales,5177,5177,-8.0,-4.0,10095278.0,7.859513441554923e-105,3.446094355143313e-104
Saccharomycetales,10896,10896,-18.0,-4.0,29278450.5,0.0,0.0
Saccharomycodales,1209,1209,-21.0,-4.0,346643.0,5.405519184446216e-111,2.5676216126119527e-110
Sanchytriales,28,28,-15.5,-2.5,166.0,0.00021816120616757452,0.00028261792617163063
Sareales,78,78,-11.0,-7.0,2350.0,0.014206415054832548,0.016753772237078385
Sarrameanales,210,210,-11.0,-2.0,12072.5,1.0233295516095442e-15,2.1340165039662445e-15
Schizosaccharomycetales,195,195,-8.0,-2.0,11788.0,8.447707031005927e-11,1.4302553488138748e-10
Sebacinales,1334,1334,-8.0,-3.0,654820.0,3.2521957208552106e-32,9.588370142521397e-32
Serinales,29673,29673,-20.0,-5.0,206335915.0,0.0,0.0
Sordariales,19983,19983,-7.0,-4.0,154728713.0,0.0,0.0
Spizellomycetales,719,719,-8.0,-2.0,182274.0,3.606529047049084e-22,9.487945646852206e-22
Sporidiobolales,1747,1747,-7.0,-3.0,1305529.5,1.3909818853063809e-13,2.613823103158144e-13
Sporopachydermiales,117,117,-22.0,-5.0,2958.5,6.099244943511209e-14,1.1718773992588952e-13
Symbiotaphrinales,87,87,-15.0,-2.0,1709.5,4.197133286137101e-10,6.968056232324702e-10
Synchytriales,118,118,-6.0,-3.0,5836.5,0.031820384516054,0.035735562007166044
Taphrinales,1158,1158,-5.0,-2.0,528228.5,9.200578003564783e-19,2.2159138571965887e-18
Teloschistales,2332,2332,-7.0,-2.0,1945090.5,1.2028174212765044e-63,4.6745858872336877e-63
Thelebolales,4041,4041,-10.0,-4.0,5376006.0,6.256198812113834e-156,3.450999989907954e-155
Thelephorales,205,205,-6.0,-4.0,18253.0,0.021386636373354362,0.02454439476405098
Thelocarpales,149,149,-6.0,-2.0,8662.5,0.0010412896542736278,0.001318966895413262
Tilletiales,847,847,1.0,-3.0,426877.0,1.2481084354111323e-11,2.2231931505760793e-11
Togniniales,229,229,-11.0,-6.0,16661.5,1.4571243551463964e-11,2.5425333135717734e-11
Trapeliales,1685,1685,-10.0,-4.0,889386.0,1.0564670052950165e-78,4.3013299501297105e-78
Trechisporales,249,249,-7.0,-2.0,21252.0,1.2400314098430594e-09,1.9817324400295622e-09
Tremellales,5221,5221,-11.0,-4.0,9128067.5,7.015556568013571e-188,4.284500618322574e-187
Trichosporonales,7579,7579,-9.0,-3.0,20129084.0,2.248535563980347e-223,1.478844544002459e-222
Trigonopsidales,1571,1571,-16.0,-3.0,652513.5,7.938275320836642e-116,3.878414513894474e-115
Trypetheliales,1532,1532,-14.0,-4.0,628351.5,6.77189272450751e-110,3.1297125834886064e-109
Umbelopsidales,469,469,-9.0,-5.0,88699.5,2.875727146671819e-07,4.276081235485922e-07
Umbilicariales,1286,1286,-8.0,-3.0,569602.5,1.559504949060872e-42,5.128372044027098e-42
Urocystidales,90,90,-5.5,-1.5,3289.5,0.02958157985566662,0.03349966990277478
Ustilaginales,1513,1513,-8.0,-2.0,801183.5,2.3643342607543838e-46,8.602152310404248e-46
Valsariales,120,120,-13.0,-2.0,4367.0,1.374099852308527e-07,2.0611497784627905e-07
Venturiales,2053,2053,-3.0,-3.0,1926128.0,1.7942274235022717e-06,2.6001092323634618e-06
Verrucariales,164,164,-9.0,-1.5,7849.5,6.952180591374603e-11,1.1888228811250572e-10
Vezdaeales,166,166,-2.0,-2.0,12334.5,0.098701920090454,0.10548767709667273
Violaceomycetales,47,47,-10.0,-3.0,820.5,0.03197392390114857,0.035735562007166044
Wallemiales,53,53,-23.0,-2.0,526.5,2.905646294440672e-08,4.51695923953959e-08
Xylariales,37218,37218,-11.0,-4.0,433593178.0,0.0,0.0
Xylobotryales,156,156,-16.0,-3.0,5151.0,1.2557805188024856e-18,2.9824787321559036e-18
Xylonales,68,68,-8.0,-4.5,1730.0,0.011327186338802234,0.013737225985355902
Zoopagales,983,983,-4.0,-2.0,406129.5,9.243679500414292e-10,1.5053992329246131e-09
