order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Lichinales,394,394,30.493492082533592,19.576325579366515,134350.5,1.5055594857744376e-70,2.993612465900335e-70
Lineolatales,107,107,30.250481695568403,18.04281345565749,10149.0,1.5456672095418437e-22,1.9152832813888065e-22
Lipomycetales,1493,1493,31.640625,19.074074074074076,1959722.5,5.921750922869274e-282,2.0665702200217265e-281
Lobulomycetales,247,247,24.89626556016598,16.906474820143885,50551.5,1.32682290455113e-36,1.955919971364166e-36
Lulworthiales,179,179,29.01678657074341,19.692307692307693,27822.0,1.8612176110754364e-33,2.6087558319172102e-33
Magnaporthales,4288,4288,28.997716894977167,18.885170501369803,15856626.5,0.0,0.0
Malasseziales,198,198,23.31885456885457,18.333942050158264,29405.5,7.451287181246169e-18,8.910280475476187e-18
Marthamycetales,162,162,28.985981308411212,19.63305472525183,22602.0,2.479751524492189e-29,3.2618270052935716e-29
Microascales,8572,8572,30.952380952380956,19.674028536733456,64052021.5,0.0,0.0
Microbotryales,451,451,28.045325779036823,20.731707317073173,164236.5,1.6407981626429586e-57,2.777985008039068e-57
Microstromatales,263,263,32.15339233038348,20.508982035928145,59005.0,1.33135011896774e-44,2.1079710216989217e-44
Microthyriales,200,200,29.04767524191645,19.6095752788748,33463.5,2.440224958716774e-31,3.3651489350045835e-31
Mixiales,40,40,28.731329173756855,19.417132347739972,1429.0,1.4688804481045214e-09,1.5797393498482589e-09
Moniliellales,86,86,28.32512315270936,19.60219246199921,6003.0,1.696148049640489e-12,1.8956948790099583e-12
Monoblepharidales,499,499,26.53061224489796,17.983193277310924,210741.0,5.181977283700003e-80,1.121668500648988e-79
Mortierellales,4923,4923,26.666666666666668,19.423076923076923,18104588.0,0.0,0.0
Mucorales,8625,8625,26.086956521739133,18.220338983050848,54488117.0,0.0,0.0
Mycosphaerellales,15456,15456,30.48553812675673,18.58108108108108,213207595.5,0.0,0.0
Myriangiales,1644,1644,31.35256927629809,19.195959595959593,2474280.0,0.0,0.0
Mytilinidiales,556,556,29.636915955446263,18.77831764971195,277034.5,9.048161035613055e-116,2.275346378073283e-115
Neocallimastigales,5311,5311,21.91435768261965,16.341030195381883,21120643.0,0.0,0.0
Neolectales,36,36,30.73440962329851,16.418186754868806,1288.0,5.92086692561554e-13,6.660975291317482e-13
Onygenales,5353,5353,30.03003003003003,19.34900542495479,24737018.5,0.0,0.0
Ophiostomatales,8935,8935,31.701030927835053,18.902439024390244,71728762.5,0.0,0.0
Orbiliales,7964,7964,31.43691280312774,19.35483870967742,57965009.0,0.0,0.0
Ostropales,744,744,30.74192658680193,19.30536408071187,491957.5,1.2271066786135015e-148,3.330718127665218e-148
Paraglomerales,339,339,17.76119402985075,17.135549872122763,57438.0,0.9931164336111473,0.9931164336111473
Patellariales,126,126,29.651669085631355,19.70245204805733,13533.0,4.048085321447096e-22,4.980018632859377e-22
Peltigerales,538,538,30.206207482993193,20.077359930660663,238156.5,4.61243625924275e-75,9.50273012446398e-75
Peribolosporales,80,80,29.42389926295206,19.357071580160504,5191.0,1.0995386961974983e-11,1.21303946483724e-11
Pertusariales,457,457,31.56146179401993,19.33884297520661,186879.5,7.56988777753273e-95,1.7732202876138313e-94
Pezizales,12856,12856,28.744939271255063,18.96551724137931,137871331.5,0.0,0.0
Phacidiales,560,560,30.717416755152602,18.97594665396523,283756.5,1.1493661499612543e-121,2.933456890199619e-121
Phaeomoniellales,254,254,33.5571377072819,20.100041902367483,59409.5,1.5476445541591184e-60,2.7567418620959295e-60
Phaeotrichales,136,136,29.959016393442624,19.703092504607476,16626.0,5.691626623165379e-30,7.603657441884999e-30
Phaffomycetales,8112,8112,36.7816091954023,17.88617886178862,62430078.5,0.0,0.0
Phallales,613,613,29.67741935483871,20.46511627906977,310246.0,9.740649181282946e-87,2.1631831298693298e-86
Phyllachorales,97,97,29.76356050069541,18.733509234828496,8090.0,4.849342827077803e-18,5.839701573452848e-18
Physodermatales,152,152,24.733840150263934,20.380111407972663,17355.0,3.674213084090969e-14,4.1608638237056663e-14
Pichiales,9920,9920,35.61843815618438,17.954106704106707,92576591.0,0.0,0.0
Pleosporales,34727,34727,28.64321608040201,18.83656509695291,1045187882.5,0.0,0.0
Pneumocystales,365,365,16.50943396226415,17.088305489260144,64864.5,0.5396000433867256,0.5427741612890005
Polychytriales,187,187,30.952380952380956,19.376026272577995,30264.0,2.299948473733449e-34,3.2503404050282624e-34
Polyporales,11587,11587,28.615384615384617,19.71153846153846,115282140.0,0.0,0.0
Pucciniales,2694,2694,30.234733174399413,20.731707317073173,5609544.5,9.463461216431227e-264,3.1730428784504704e-263
Pyrenulales,338,338,30.02463054187192,19.842871117632676,100088.0,3.0005093548128273e-64,5.577033692097756e-64
Racodiales,231,231,27.56410256410257,18.89400921658986,47895.0,1.840229108776033e-49,2.9969445485781106e-49
Ramicandelaberales,120,120,31.85964357270906,19.392388375623057,12192.5,1.6518770802452546e-20,2.0176498622995612e-20
Rhizocarpales,140,140,33.037772872209956,19.820423478960066,17280.0,2.4412679696758978e-28,3.18669330392808e-28
Rhizophlyctidales,281,281,28.4375,17.88235294117647,70978.5,3.4206951046486585e-60,6.030297555617738e-60
Rhizophydiales,976,976,30.19638043896804,18.406999442275517,811971.0,4.365422192268534e-160,1.2441453247965323e-159
Russulales,5177,5177,28.14207650273224,20.0,21651142.0,0.0,0.0
Saccharomycetales,10896,10896,35.97464342313788,17.72151898734177,111485757.0,0.0,0.0
Saccharomycodales,1209,1209,38.03317535545024,17.037037037037038,1417776.5,0.0,0.0
Sanchytriales,28,28,28.01154009034444,16.14256792058516,738.0,1.4992212199111463e-08,1.5825112876839878e-08
Sareales,78,78,33.066049537152864,19.79653087725635,5424.0,3.144835048173415e-17,3.7087365050872687e-17
Sarrameanales,210,210,32.544130008405716,19.7032967032967,41357.0,2.4812260203054548e-54,4.0797081680022383e-54
Schizosaccharomycetales,195,195,35.65573770491803,18.21192052980133,34727.5,2.94857905586353e-45,4.712215126660408e-45
Sebacinales,1334,1334,27.336415861006028,20.68136604774536,1374732.5,3.078819921533486e-131,8.099664716649632e-131
Serinales,29673,29673,34.25692695214106,17.61904761904762,821082281.0,0.0,0.0
Sordariales,19983,19983,28.09667673716012,18.97163120567376,342593113.0,0.0,0.0
Spizellomycetales,719,719,28.10810810810811,18.978102189781023,430600.0,6.17573802631416e-106,1.508644574999602e-105
Sporidiobolales,1747,1747,28.909090909090907,20.12578616352201,2535823.0,1.832565017008838e-251,5.912615432236063e-251
Sporopachydermiales,117,117,32.79352226720648,18.24104234527687,12779.0,2.0735817177357744e-30,2.7919879821481687e-30
Symbiotaphrinales,87,87,32.352941176470594,18.678160919540232,6620.0,1.4250596393599824e-17,1.6922583217399792e-17
Synchytriales,118,118,26.048926244822674,19.100808262236193,10189.0,7.616890845979779e-10,8.243597054826217e-10
Taphrinales,1158,1158,30.193504609481025,18.610995720662803,1224711.0,5.623455621344908e-260,1.8492517524038064e-259
Teloschistales,2332,2332,31.81874039938556,19.60379525878809,4902874.5,0.0,0.0
Thelebolales,4041,4041,27.625570776255707,18.87550200803213,13954255.5,0.0,0.0
Thelephorales,205,205,29.00763358778626,20.469798657718123,35261.0,1.5774894213329058e-32,2.1930950491701374e-32
Thelocarpales,149,149,31.069182389937104,18.665158371040725,19531.0,8.868909000906415e-30,1.1756460768643386e-29
Tilletiales,847,847,29.33985330073349,20.98765432098765,581903.0,6.343042837336669e-109,1.5719714857747396e-108
Togniniales,229,229,28.88888888888889,17.92452830188679,48206.5,2.4114959539644717e-54,4.003551535222569e-54
Trapeliales,1685,1685,32.1917808219178,19.457013574660635,2601964.0,0.0,0.0
Trechisporales,249,249,31.037924151696608,20.711974110032365,52697.0,1.3278089280323142e-41,2.064139333577507e-41
Tremellales,5221,5221,29.787234042553195,20.21857923497268,23330699.5,0.0,0.0
Trichosporonales,7579,7579,27.16346153846154,19.170984455958543,46480715.5,0.0,0.0
Trigonopsidales,1571,1571,35.728542914171655,18.96551724137931,2283229.0,0.0,0.0
Trypetheliales,1532,1532,31.500445155077493,19.012328952716434,2106685.0,0.0,0.0
Umbelopsidales,469,469,29.03225806451613,18.63517060367454,179458.0,5.997492558467463e-63,1.1027647607504688e-62
Umbilicariales,1286,1286,30.97298568810974,19.180625254306253,1435532.5,3.5361981426891116e-229,1.0798033614282824e-228
Urocystidales,90,90,25.531691137806902,18.706034801925213,6079.5,6.442316546975143e-09,6.842460431880431e-09
