class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Sareomycetes,78,78,33.066049537152864,19.79653087725635,5424.0,3.144835048173415e-17,3.850818426334794e-17
Schizosaccharomycetes,195,195,35.65573770491803,18.21192052980133,34727.5,2.94857905586353e-45,4.3149937402880926e-45
Sordariomycetes,234430,234430,29.11392405063291,18.72852233676976,47874209208.5,0.0,0.0
Sporopachydermiomycetes,117,117,32.79352226720648,18.24104234527687,12779.0,2.0735817177357744e-30,2.704671805742314e-30
Taphrinomycetes,1158,1158,30.193504609481025,18.610995720662803,1224711.0,5.623455621344908e-260,1.466988422959541e-259
Tremellomycetes,15357,15357,28.46153846153846,19.672131147540984,195461834.5,0.0,0.0
Trigonopsidomycetes,1571,1571,35.728542914171655,18.96551724137931,2283229.0,0.0,0.0
Umbelopsidomycetes,469,469,29.03225806451613,18.63517060367454,179458.0,5.997492558467463e-63,9.725663608325615e-63
Ustilaginomycetes,1650,1650,25.754324359474573,20.460520262365762,1947266.0,9.943683274655076e-102,2.1307892731403732e-101
Wallemiomycetes,53,53,21.7283950617284,19.009100101112235,1769.0,0.021448968273186705,0.021812510108325463
Xylobotryomycetes,156,156,31.16782989774387,19.684217031269313,21383.5,6.114936333882912e-31,8.338549546203972e-31
Xylonomycetes,68,68,33.817605360320414,20.275594108611187,4094.0,8.927489165848475e-15,1.0712986999018169e-14
Zoopagomycetes,983,983,24.80314960629921,17.928286852589643,715742.0,2.9054142289213296e-76,5.282571325311508e-76
